filename,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,name,surah,juz
1001,0.36351794,2005.183444,1976.153887,3618.661557,0.030979738,0.100248133,Maher_AlMuaiqly,Al-Tor,27
52001,0.35753074,1775.923211,1626.481367,3559.371185,0.038955882,0.115020752,Maher_AlMuaiqly,Al-Tor,27
52002,0.35286942,2272.71209,1817.949412,4120.457198,0.060902037,0.153582317,Maher_AlMuaiqly,Al-Tor,27
52003,0.2790594,1965.00484,1633.50406,3750.043616,0.056666657,0.120994996,Maher_AlMuaiqly,Al-Tor,27
52004,0.34327233,1825.795559,1551.902011,3577.311035,0.047885865,0.107202148,Maher_AlMuaiqly,Al-Tor,27
52005,0.35778096,2328.61272,1926.47369,4292.386251,0.04858068,0.154131822,Maher_AlMuaiqly,Al-Tor,27
52006,0.34532735,2028.437349,1787.484689,3912.021272,0.05032173,0.124490489,Maher_AlMuaiqly,Al-Tor,27
52007,0.33831117,1816.374232,1455.424406,3489.516223,0.0659992,0.126028142,Maher_AlMuaiqly,Al-Tor,27
52008,0.34075296,1850.368167,1608.721261,3600.994085,0.06619497,0.125791488,Maher_AlMuaiqly,Al-Tor,27
52009,0.3354059,1999.291457,1707.065513,3850.033634,0.070429504,0.133970869,Maher_AlMuaiqly,Al-Tor,27
52010,0.3545296,2248.100061,1775.605619,4099.138849,0.056755535,0.154922359,Maher_AlMuaiqly,Al-Tor,27
52011,0.2857945,2067.944717,1639.032005,3758.534737,0.06584416,0.140001917,Maher_AlMuaiqly,Al-Tor,27
52012,0.28956544,2005.343916,1668.422189,3741.183523,0.060585715,0.12826521,Maher_AlMuaiqly,Al-Tor,27
52013,0.35081783,2018.650141,1563.294049,3719.96744,0.07152632,0.14366588,Maher_AlMuaiqly,Al-Tor,27
52014,0.3046606,1879.029803,1581.901949,3583.591387,0.05858937,0.123573409,Maher_AlMuaiqly,Al-Tor,27
52015,0.3012797,1913.5912,1846.499324,3818.541916,0.08317391,0.106181189,Maher_AlMuaiqly,Al-Tor,27
52016,0.32140732,2055.914771,1721.964116,3868.055572,0.064102806,0.134819557,Maher_AlMuaiqly,Al-Tor,27
52017,0.311675,2113.93302,1619.968731,3741.04237,0.068355575,0.146825436,Maher_AlMuaiqly,Al-Tor,27
52018,0.3375459,1960.459469,1602.793559,3656.560648,0.06839807,0.129760742,Maher_AlMuaiqly,Al-Tor,27
52019,0.2990137,1958.059271,1680.889102,3708.744105,0.062827304,0.123120316,Maher_AlMuaiqly,Al-Tor,27
52020,0.3179022,2195.30124,1785.296654,4023.176193,0.06496159,0.141600291,Maher_AlMuaiqly,Al-Tor,27
52021,0.29998523,2063.846336,1658.777799,3719.53924,0.07089776,0.136241249,Maher_AlMuaiqly,Al-Tor,27
52022,0.30592054,2024.533471,1678.303162,3699.857209,0.063700356,0.12544684,Maher_AlMuaiqly,Al-Tor,27
52023,0.3285618,2159.007894,1725.850154,3925.299786,0.06663096,0.147569649,Maher_AlMuaiqly,Al-Tor,27
52024,0.2774692,1798.676793,1591.264844,3421.881587,0.06559468,0.102709434,Maher_AlMuaiqly,Al-Tor,27
52025,0.33148092,2008.792945,1599.252754,3732.352592,0.081787795,0.136077763,Maher_AlMuaiqly,Al-Tor,27
52026,0.28072953,2017.681487,1672.762124,3658.59375,0.07058604,0.129437713,Maher_AlMuaiqly,Al-Tor,27
52027,0.32233694,2098.650444,1701.489346,3858.216701,0.078733794,0.141049394,Maher_AlMuaiqly,Al-Tor,27
52028,0.28159827,1981.663384,1713.362135,3624.443784,0.08064956,0.125268909,Maher_AlMuaiqly,Al-Tor,27
52029,0.30814317,2085.591831,1665.460755,3743.614455,0.077201545,0.13821547,Maher_AlMuaiqly,Al-Tor,27
52030,0.30174392,2114.535098,1718.651032,3834.467877,0.071130715,0.132939245,Maher_AlMuaiqly,Al-Tor,27
52031,0.2948957,2135.672858,1776.666131,3893.304784,0.06644544,0.134621027,Maher_AlMuaiqly,Al-Tor,27
52032,0.30169064,1971.758716,1754.060259,3735.101873,0.071707405,0.120234502,Maher_AlMuaiqly,Al-Tor,27
52033,0.31472003,1921.977066,1716.407829,3665.084367,0.06965475,0.120907498,Maher_AlMuaiqly,Al-Tor,27
52034,0.30441222,2244.807869,1816.140283,4006.780984,0.06366397,0.151363636,Maher_AlMuaiqly,Al-Tor,27
52035,0.2902437,2030.516134,1748.386843,3719.887892,0.06484818,0.121540319,Maher_AlMuaiqly,Al-Tor,27
52036,0.31278095,2064.996745,1729.582884,3876.081603,0.07255061,0.133412729,Maher_AlMuaiqly,Al-Tor,27
52037,0.3078129,2089.613983,1787.897286,3829.419279,0.07741611,0.132299221,Maher_AlMuaiqly,Al-Tor,27
52038,0.2916424,2268.128751,1854.517738,4048.639898,0.068928905,0.143437448,Maher_AlMuaiqly,Al-Tor,27
52039,0.2834313,1841.249131,1712.729348,3521.575928,0.07700779,0.106898717,Maher_AlMuaiqly,Al-Tor,27
52040,0.2849371,1958.540872,1764.412714,3760.977389,0.061048143,0.108383059,Maher_AlMuaiqly,Al-Tor,27
52041,0.2736773,1918.938254,1832.52696,3686.386,0.0706788,0.107786227,Maher_AlMuaiqly,Al-Tor,27
52042,0.31142172,2139.533685,1754.895075,3800.213848,0.080662824,0.138821264,Maher_AlMuaiqly,Al-Tor,27
52043,0.3228124,2095.714658,1723.094336,3811.631784,0.07954856,0.134993875,Maher_AlMuaiqly,Al-Tor,27
52044,0.33454204,2260.637699,1800.9578,3992.849246,0.07578524,0.155176336,Maher_AlMuaiqly,Al-Tor,27
52045,0.28903592,1952.193919,1679.473489,3629.169587,0.06605144,0.11883348,Maher_AlMuaiqly,Al-Tor,27
52046,0.29181126,2044.721348,1720.473549,3826.950073,0.07323639,0.129783412,Maher_AlMuaiqly,Al-Tor,27
52047,0.29762506,2024.220339,1690.646198,3770.716164,0.06843784,0.13398065,Maher_AlMuaiqly,Al-Tor,27
52048,0.3415677,2160.607728,1735.612154,3867.750395,0.06253482,0.143462792,Maher_AlMuaiqly,Al-Tor,27
52049,0.2716106,1644.147544,1772.537987,3297.271729,0.073366866,0.07540741,Maher_AlMuaiqly,Al-Tor,27
53001,0.32850674,2016.800776,1645.822077,3685.371218,0.07411309,0.137153238,Maher_AlMuaiqly,Al-Najm,27
53002,0.32151943,2047.149855,1697.441763,3836.597349,0.06587984,0.142511237,Maher_AlMuaiqly,Al-Najm,27
53003,0.3450558,1908.811864,1582.192899,3654.43303,0.068372674,0.134213492,Maher_AlMuaiqly,Al-Najm,27
53004,0.32364255,1919.246161,1596.797866,3635.844221,0.059272647,0.122875135,Maher_AlMuaiqly,Al-Najm,27
53005,0.34776345,2157.783699,1721.82429,3882.419568,0.06944291,0.147687777,Maher_AlMuaiqly,Al-Najm,27
53006,0.3360172,2038.282423,1724.751401,3936.669706,0.05703306,0.132553236,Maher_AlMuaiqly,Al-Najm,27
53007,0.3523253,2004.454023,1587.316233,3701.123615,0.06334849,0.138853561,Maher_AlMuaiqly,Al-Najm,27
53008,0.37230608,2056.195435,1547.419681,3694.986278,0.06895743,0.154646249,Maher_AlMuaiqly,Al-Najm,27
53009,0.37152556,2222.408883,1736.178494,3959.549484,0.070759155,0.167582905,Maher_AlMuaiqly,Al-Najm,27
53010,0.34133935,2042.450759,1605.622029,3727.449348,0.07806501,0.146052962,Maher_AlMuaiqly,Al-Najm,27
53011,0.3238651,1950.848366,1623.595876,3717.984841,0.075762905,0.13104433,Maher_AlMuaiqly,Al-Najm,27
53012,0.3346335,1894.745583,1556.790253,3643.839903,0.065860964,0.129262563,Maher_AlMuaiqly,Al-Najm,27
53013,0.31658995,1921.560868,1682.170392,3759.277551,0.0637133,0.119351662,Maher_AlMuaiqly,Al-Najm,27
53014,0.33070678,2094.004503,1719.720485,3962.177089,0.05917723,0.140938237,Maher_AlMuaiqly,Al-Najm,27
53015,0.31704897,2004.373874,1689.195984,3765.521608,0.07100058,0.130759366,Maher_AlMuaiqly,Al-Najm,27
53016,0.3751469,2518.621871,1827.768282,4298.565674,0.06349203,0.18110567,Maher_AlMuaiqly,Al-Najm,27
53017,0.3367798,2160.734977,1826.201513,4045.953225,0.07280944,0.146242157,Maher_AlMuaiqly,Al-Najm,27
53018,0.30451742,2088.344063,1677.063882,3787.958074,0.07084137,0.140622241,Maher_AlMuaiqly,Al-Najm,27
53019,0.34489974,2187.104057,1774.666123,4017.299517,0.07269133,0.150398831,Maher_AlMuaiqly,Al-Najm,27
53020,0.37725374,2037.159231,1664.588109,3766.984226,0.061272014,0.144616168,Maher_AlMuaiqly,Al-Najm,27
53021,0.31928712,1942.172893,1729.40782,3748.059082,0.058983542,0.120689755,Maher_AlMuaiqly,Al-Najm,27
53022,0.32340938,2271.423233,1904.350777,4229.59575,0.06020607,0.155037172,Maher_AlMuaiqly,Al-Najm,27
